question,answer,exposure,complexity,responsibility,set_type,notes
Tell me about the most complex project you worked on.,"I had limited exposure, mostly around data processing pipeline, and I used Excel for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with sales, QA, clients, and was the main point of ownership. I worked with sales, QA, clients during the project.",2,2,5,main,responsibility_high_exposure_low
"What was your role in your last project, and how much responsibility did you have?","I have worked across a high-volume workflow, including CRM automation, support workflows, and reporting processes. I used tools such as Excel, Redis and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with support, and was the main point of ownership.",5,5,5,main,all_high
Describe the broadest range of tools or systems you have worked with.,"I have worked across a small internal tool, including reporting platform, support workflows, and reporting processes. I used tools such as Node.js, Tableau, Redis, AWS S3, Python, Spark and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with QA during the project.",5,2,2,main,exposure_high_complexity_low
Tell me about a project where coordination across teams was required.,"I worked on CRM automation in an internal operations platform and used Spark, Jira, Python across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",4,3,2,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked on internal admin system in a startup environment and used Power BI, SQL across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with management, clients, engineering, and was the main point of ownership. I worked with management, clients, engineering during the project.",4,4,5,minimal_pair_high,pair_dim=responsibility
Describe the most demanding technical or operational work you have done.,"I worked mainly on candidate screening pipeline and used Redis, Looker in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with operations, finance, engineering during the project.",3,3,4,main,mixed_mid
"What was your role in your last project, and how much responsibility did you have?","I worked on monitoring dashboard in a time-sensitive support process and used AWS S3, CI/CD pipelines, Looker, Spark, Kubernetes across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with support, product, sales during the project.",4,3,4,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I have some background in it, mostly around one area like CRM automation. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with product, operations, and was the main point of ownership. I worked with product, operations during the project.",1,3,5,main,responsibility_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked on ETL pipeline in a customer-facing product and used Git, AWS S3, CI/CD pipelines, Python, Power BI, Notion across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with clients during the project.",4,5,4,minimal_pair_high,pair_dim=complexity
"What level of responsibility have you had for delivery, quality, or outcomes?","I supported the process when needed, mostly around one area like support operations dashboard. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with QA, finance, operations, and was the main point of ownership. I worked with QA, finance, operations during the project.",1,3,5,main,responsibility_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I have some background in it, mostly around one area like candidate screening pipeline. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with sales, and was the main point of ownership. I worked with sales during the project.",1,3,5,main,responsibility_high_exposure_low
Describe the most demanding technical or operational work you have done.,"I have worked across a startup environment, including order management flow, support workflows, and reporting processes. I used tools such as React, Excel and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with engineering, support, finance, and was the main point of ownership.",5,5,5,main,all_high
Describe a project where the scale or complexity was higher than usual.,"I have seen similar things, mostly around one area like monitoring dashboard. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope. it was some time ago.",1,1,2,main,all_low
"What was your role in your last project, and how much responsibility did you have?","I had limited exposure, mostly around ETL pipeline, and I used Spark for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with finance, operations during the project. to the best of my memory.",2,2,3,main,edge_uncertain
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around ETL pipeline, and I used CI/CD pipelines for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with finance, and was the main point of ownership. I worked with finance during the project.",2,2,5,main,responsibility_high_exposure_low
Describe a project where the scale or complexity was higher than usual.,"I worked mainly on support operations dashboard and used React, AWS S3 in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with operations, clients during the project.",3,4,3,main,complexity_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked on release process in a high-volume workflow and used Redis, MongoDB, Spark, Notion, Lambda, Power BI across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with clients, sales, management during the project.",4,3,4,main,mixed_mid
Tell me about a production issue or major challenge you handled.,"I worked on API integration layer in a startup environment and used Lambda, MongoDB, React, SQL across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My role was quite limited, and the main ownership stayed with more senior team members.",4,4,1,minimal_pair_low,pair_dim=responsibility
"What kind of systems, teams, or environments have you been exposed to?","I worked mainly on candidate screening pipeline and used Excel, Node.js in that context. The work was relatively simple and focused on a limited scope with few dependencies. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",3,2,4,main,mixed_mid
Tell me about a production issue or major challenge you handled.,"I supported the process when needed, mostly around one area like permissions system. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with QA during the project.",1,5,4,main,complexity_high_exposure_low
Tell me about a production issue or major challenge you handled.,"I have worked across a time-sensitive support process, including ETL pipeline, support workflows, and reporting processes. I used tools such as SQL, Jira and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with engineering, QA during the project.",5,2,2,main,exposure_high_complexity_low
"What kind of systems, teams, or environments have you been exposed to?","I touched related tasks before, mostly around one area like CRM automation. The work was relatively simple and focused on a limited scope with few dependencies. My role was quite limited, and the main ownership stayed with more senior team members. I worked with engineering during the project. it was some time ago.",1,2,1,main,edge_uncertain
Tell me about a production issue or major challenge you handled.,"I worked mainly on ETL pipeline and used Docker, Spark in that context. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with engineering, clients, operations during the project. I only handled one part of it.",3,2,3,main,mixed_mid
"What was your role in your last project, and how much responsibility did you have?","I had limited exposure, mostly around CRM automation, and I used Node.js for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with engineering, finance, clients during the project. to the best of my memory.",2,5,3,main,complexity_high_exposure_low
Tell me about a production issue or major challenge you handled.,"I had limited exposure, mostly around support operations dashboard, and I used Excel for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with operations, product during the project.",2,4,2,main,complexity_high_exposure_low
Tell me about a project where coordination across teams was required.,"I worked on fraud review workflow in a startup environment and used PostgreSQL, Jira, Tableau, Spark, Kubernetes, Pandas across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with QA during the project.",4,3,3,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I worked mainly on support operations dashboard and used SQL, Power BI in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members. to the best of my memory.",3,5,1,main,responsibility_low_complexity_high
Describe the most demanding technical or operational work you have done.,"I worked mainly on release process and used Pandas, MongoDB in that context. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",3,2,2,main,edge_uncertain
"What was your role in your last project, and how much responsibility did you have?","I worked on candidate screening pipeline in a small internal tool and used Kubernetes, REST APIs, Spark, Git, Airflow across several stages of the work. The work was relatively simple and focused on a limited scope with few dependencies. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with management, sales during the project.",4,2,4,main,exposure_high_complexity_low
How much end-to-end ownership have you had in a real project?,"The system had many edge cases and dependencies, but I was only there for analysis and did not own delivery.",2,5,1,edge_case,complex_without_delivery
Describe the most demanding technical or operational work you have done.,"I had limited exposure, mostly around fraud review workflow, and I used Tableau for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team.",2,3,3,main,mixed_mid
Tell me about the most complex project you worked on.,"I have worked across a multi-team production system, including inventory service, support workflows, and reporting processes. I used tools such as REST APIs, PostgreSQL, MongoDB and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with clients, and was the main point of ownership. I worked with clients during the project.",5,5,5,main,all_high
"What was your role in your last project, and how much responsibility did you have?","I had limited exposure, mostly around inventory service, and I used Looker for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with engineering, QA, and was the main point of ownership. I worked with engineering, QA during the project.",2,4,5,main,responsibility_high_exposure_low
How much end-to-end ownership have you had in a real project?,"I worked mainly on candidate screening pipeline and used Tableau, Kubernetes in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My role was quite limited, and the main ownership stayed with more senior team members. I worked with QA, engineering during the project.",3,3,1,main,edge_uncertain
Tell me about the most complex project you worked on.,"I worked mainly on mobile app backend and used Node.js, Spark in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",3,3,4,main,mixed_mid
Describe the most demanding technical or operational work you have done.,"I have worked across an internal operations platform, including support operations dashboard, support workflows, and reporting processes. I used tools such as React, REST APIs, Jira and had exposure to both technical and operational work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with support, clients, sales during the project.",5,4,4,main,all_high
Describe a project where the scale or complexity was higher than usual.,"I have worked across a time-sensitive support process, including API integration layer, support workflows, and reporting processes. I used tools such as Spark, Python, Notion, Node.js, Airflow and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with QA, operations, sales, and was the main point of ownership. I worked with QA, operations, sales during the project.",5,5,5,main,all_high
"What level of responsibility have you had for delivery, quality, or outcomes?","I have worked across a time-sensitive support process, including payments workflow, support workflows, and reporting processes. I used tools such as Pandas, Looker, Lambda and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",5,2,4,main,exposure_high_complexity_low
Describe a project where the scale or complexity was higher than usual.,"I have worked across a time-sensitive support process, including fraud review workflow, support workflows, and reporting processes. I used tools such as PostgreSQL, AWS S3, Power BI and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with clients, finance, and was the main point of ownership. I worked with clients, finance during the project.",5,5,5,main,all_high
"What was your role in your last project, and how much responsibility did you have?","I worked mainly on internal admin system and used Git, Airflow in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with support, finance, management during the project. I do not remember every detail.",3,4,4,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked on order management flow in a multi-team production system and used SQL, Kubernetes, React across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with operations, product during the project. I do not remember every detail.",4,3,2,main,mixed_mid
Tell me about a project where coordination across teams was required.,I have seen similar things before.,1,1,1,edge_case,short_vague
"What kind of systems, teams, or environments have you been exposed to?","I worked on API integration layer in a startup environment and used Jira, Kubernetes across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with product during the project.",4,4,2,main,responsibility_low_complexity_high
"What kind of systems, teams, or environments have you been exposed to?","I touched related tasks before, mostly around one area like analytics stack. The work was relatively simple and focused on a limited scope with few dependencies. My role was quite limited, and the main ownership stayed with more senior team members.",1,2,1,main,all_low
Tell me about a project where coordination across teams was required.,"I had limited exposure, mostly around release process, and I used SQL for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with operations, engineering, clients during the project.",2,1,1,main,all_low
Describe the most demanding technical or operational work you have done.,"I have worked across a small internal tool, including ETL pipeline, support workflows, and reporting processes. I used tools such as Looker, Kubernetes, Jira, PostgreSQL, Excel, Airflow and had exposure to both technical and operational work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with engineering, clients, and was the main point of ownership. I worked with engineering, clients during the project.",5,5,5,main,all_high
"What was your role in your last project, and how much responsibility did you have?","I had limited exposure, mostly around ETL pipeline, and I used MongoDB for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",2,5,4,main,complexity_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on inventory service and used SQL, Airflow in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team.",3,3,3,main,mixed_mid
How much end-to-end ownership have you had in a real project?,"I touched related tasks before, mostly around one area like monitoring dashboard. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",1,5,2,main,complexity_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around customer onboarding flow, and I used Tableau for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with operations, management, and was the main point of ownership. I worked with operations, management during the project.",2,2,5,main,responsibility_high_exposure_low
How much end-to-end ownership have you had in a real project?,"I had limited exposure, mostly around permissions system, and I used Power BI for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with management, clients during the project.",2,5,3,main,complexity_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on mobile app backend and used CI/CD pipelines, Lambda in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members. I worked with sales during the project. it was some time ago.",3,5,1,main,responsibility_low_complexity_high
How much end-to-end ownership have you had in a real project?,"I worked on mobile app backend in a high-volume workflow and used Docker, PostgreSQL, Redis, Excel across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with support, and was the main point of ownership. I worked with support during the project. I do not remember every detail.",4,4,5,minimal_pair_high,pair_dim=responsibility
Describe a project where the scale or complexity was higher than usual.,"I had limited exposure, mostly around reporting platform, and I used Power BI for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes.",2,3,4,main,responsibility_high_exposure_low
How much end-to-end ownership have you had in a real project?,"I worked on monitoring dashboard in an internal operations platform and used REST APIs, Notion, Kubernetes, Excel across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members.",4,5,1,main,responsibility_low_complexity_high
Describe the broadest range of tools or systems you have worked with.,"I had limited exposure, mostly around monitoring dashboard, and I used Pandas for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with operations, QA, and was the main point of ownership. I worked with operations, QA during the project.",2,2,5,main,responsibility_high_exposure_low
"What kind of systems, teams, or environments have you been exposed to?","I have seen similar things, mostly around one area like analytics stack. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. to the best of my memory.",1,1,1,main,all_low
Tell me about a project where coordination across teams was required.,"I have seen similar things, mostly around one area like CRM automation. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with finance, engineering, operations during the project. I do not remember every detail.",1,1,2,main,all_low
Describe the broadest range of tools or systems you have worked with.,"I worked on inventory service in a regulated environment and used Docker, Looker, AWS S3, Git across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with clients during the project.",4,3,4,main,mixed_mid
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around candidate screening pipeline, and I used Airflow for a narrow part of the process. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with QA, support, management, and was the main point of ownership. I do not remember every detail.",2,4,5,main,responsibility_high_exposure_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around monitoring dashboard, and I used Tableau for a narrow part of the process. The work was relatively simple and focused on a limited scope with few dependencies. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with QA, operations, management during the project.",2,2,2,main,all_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked on permissions system in a regulated environment and used Jira, Spark, Docker, CI/CD pipelines across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with product, support, and was the main point of ownership.",4,5,5,main,all_high
Tell me about the most complex project you worked on.,"I had limited exposure, mostly around internal admin system, and I used SQL for a narrow part of the process. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team.",2,5,3,main,complexity_high_exposure_low
Describe a project where the scale or complexity was higher than usual.,"I have worked across a multi-team production system, including inventory service, support workflows, and reporting processes. I used tools such as Docker, MongoDB, Notion and had exposure to both technical and operational work. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with QA, support, management during the project.",5,2,3,main,exposure_high_complexity_low
"What level of responsibility have you had for delivery, quality, or outcomes?","I had limited exposure, mostly around internal admin system, and I used Tableau for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",2,1,2,main,all_low
"What kind of systems, teams, or environments have you been exposed to?","I worked mainly on payments workflow and used Pandas, Kubernetes in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with QA during the project.",3,4,3,main,complexity_high_exposure_low
Describe a project where the scale or complexity was higher than usual.,"I worked on permissions system in a small internal tool and used Airflow, Kubernetes, PostgreSQL, Redis, Docker, SQL across several stages of the work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with operations, clients during the project.",4,4,4,main,mixed_mid
"What was your role in your last project, and how much responsibility did you have?","I have some background in it, mostly around one area like internal admin system. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with sales during the project.",1,1,2,main,edge_uncertain
Describe the broadest range of tools or systems you have worked with.,"I had limited exposure, mostly around ETL pipeline, and I used MongoDB for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with operations, QA, clients during the project.",2,3,3,main,mixed_mid
"What kind of systems, teams, or environments have you been exposed to?","I have worked across a multi-team production system, including order management flow, support workflows, and reporting processes. I used tools such as Tableau, Spark and had exposure to both technical and operational work. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with clients, and was the main point of ownership. I worked with clients during the project.",5,4,5,main,all_high
"What kind of systems, teams, or environments have you been exposed to?","I have seen similar things, mostly around one area like release process. The work was relatively simple and focused on a limited scope with few dependencies. My role was quite limited, and the main ownership stayed with more senior team members. I worked with finance, operations, clients during the project.",1,2,1,main,all_low
"What was your role in your last project, and how much responsibility did you have?","I worked mainly on analytics stack and used Python, CI/CD pipelines in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with support, clients, operations during the project.",3,3,3,main,edge_uncertain
Describe a project where the scale or complexity was higher than usual.,"I have some background in it, mostly around one area like permissions system. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with finance, and was the main point of ownership.",1,4,5,main,responsibility_high_exposure_low
Tell me about a production issue or major challenge you handled.,"I had limited exposure, mostly around ETL pipeline, and I used Notion for a narrow part of the process. It was a fairly basic task with clear instructions and low complexity. My role was quite limited, and the main ownership stayed with more senior team members. I worked with QA, engineering during the project.",2,1,1,main,all_low
Tell me about a project where coordination across teams was required.,"I touched related tasks before, mostly around one area like customer onboarding flow. It was a fairly basic task with clear instructions and low complexity. My responsibility was limited to support tasks, updates, or a narrower implementation scope. I worked with management during the project. I was not the main owner of the whole thing.",1,1,2,main,all_low
Describe the most demanding technical or operational work you have done.,"I worked on API integration layer in a startup environment and used MongoDB, Notion, Kubernetes, Pandas, PostgreSQL, Python across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",4,3,2,main,mixed_mid
Tell me about a project where coordination across teams was required.,"I worked on ETL pipeline in a multi-team production system and used Airflow, Tableau, CI/CD pipelines across several stages of the work. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I was not the main owner of the whole thing.",4,3,4,main,mixed_mid
"What was your role in your last project, and how much responsibility did you have?","I owned documentation, QA coordination, and release notes, but not the implementation itself.",2,3,2,edge_case,partial_owner
"What level of responsibility have you had for delivery, quality, or outcomes?","I have worked across an enterprise environment, including monitoring dashboard, support workflows, and reporting processes. I used tools such as Redis, Power BI, Notion, PostgreSQL, Lambda and had exposure to both technical and operational work. It was a fairly basic task with clear instructions and low complexity. I was responsible for one meaningful part of the work, together with the rest of the team.",5,1,3,main,exposure_high_complexity_low
Tell me about the most complex project you worked on.,"I worked mainly on candidate screening pipeline and used Kubernetes, React in that context. The work was relatively simple and focused on a limited scope with few dependencies. I was responsible for one meaningful part of the work, together with the rest of the team. it was some time ago.",3,2,3,main,mixed_mid
Describe the broadest range of tools or systems you have worked with.,"I worked mainly on support operations dashboard and used Pandas, SQL in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I was responsible for one meaningful part of the work, together with the rest of the team. I worked with management, sales during the project. I was not the main owner of the whole thing.",3,5,3,main,complexity_high_exposure_low
Tell me about a project where coordination across teams was required.,"I had limited exposure, mostly around API integration layer, and I used Spark for a narrow part of the process. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with sales, finance, product, and was the main point of ownership. I worked with sales, finance, product during the project.",2,3,5,main,responsibility_high_exposure_low
Describe the most demanding technical or operational work you have done.,"I worked mainly on fraud review workflow and used Pandas, REST APIs in that context. The project had moderate-to-high complexity because there were several moving parts, some ambiguity, and coordination requirements. My responsibility was limited to support tasks, updates, or a narrower implementation scope.",3,4,2,main,mixed_mid
Describe a project where the scale or complexity was higher than usual.,"I worked on release process in a multi-team production system and used Jira, Tableau, Notion, Git, Looker, Pandas across several stages of the work. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. I owned a significant part of the delivery and was responsible for key decisions and outcomes. I worked with QA during the project.",4,5,4,main,all_high
"What level of responsibility have you had for delivery, quality, or outcomes?","I worked mainly on ETL pipeline and used Spark, Git in that context. The work was fairly complex because it involved multiple dependencies, production constraints, handoffs across teams, and edge cases that affected real users. I had to understand upstream and downstream impacts, validate assumptions, and deal with failures that could affect delivery quality. My role was quite limited, and the main ownership stayed with more senior team members. I worked with product during the project. to the best of my memory.",3,5,1,main,responsibility_low_complexity_high
Tell me about a project where coordination across teams was required.,"I worked mainly on release process and used Git, Python in that context. The work had an average level of complexity. It was not trivial, but it was still manageable within a defined scope. I was personally accountable for planning, execution, follow-up, and final delivery. I made decisions, coordinated with engineering, and was the main point of ownership.",3,3,5,main,responsibility_high_exposure_low
